Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-PUXQPH,13517,22,LinkedIn,Text,18-24,Female,Germany,11204,3033,82.88821484,1.206444127,27.07068904,1
CAMP-R62GDS,40857,51,Instagram,Video,55+,All,UK,39171,461,95.87341214,1.043042046,1.176891067,0
CAMP-WM31YI,9792,14,Google,Image,18-24,Female,Germany,29462,887,300.878268,0.332360329,3.010657796,1
CAMP-HAIR4C,45858,49,LinkedIn,Video,35-44,All,US,21391,3534,46.64616861,2.143798794,16.52096676,1
CAMP-OWGZRI,6973,3,Facebook,Video,45-54,All,UK,32068,3937,459.88814,0.217444181,12.2770363,1
CAMP-XA11DP,5775,28,LinkedIn,Video,45-54,Male,US,9195,1116,159.2207792,0.628058728,12.137031,1
CAMP-G8SBI4,261,16,Instagram,Carousel,55+,All,UK,42312,1076,16211.49425,0.006168463,2.543013802,1
CAMP-Q2Y9V8,37165,40,Instagram,Text,35-44,Male,Germany,46380,3877,124.7948338,0.801315222,8.359206555,1
CAMP-6WZS3T,26657,39,Google,Story,35-44,Male,Canada,22273,4616,83.55403834,1.196830243,20.72464419,1
CAMP-60RJIW,33863,13,LinkedIn,Story,18-24,Male,India,2930,4908,8.652511591,11.55733788,167.5085324,1
CAMP-1SWJCK,32706,38,Facebook,Carousel,35-44,Male,US,21321,1925,65.18987342,1.533980583,9.028657192,1
CAMP-JLTEIY,11634,15,Facebook,Video,25-34,All,Germany,33363,927,286.7715317,0.348709648,2.778527111,1
CAMP-ZCOTOH,29227,45,YouTube,Carousel,18-24,Female,Canada,46950,4653,160.639135,0.622513312,9.910543131,1
CAMP-P6VZ41,40497,5,Facebook,Carousel,25-34,Female,Germany,13354,2282,32.97528212,3.03257451,17.08851281,1
CAMP-NAM148,25951,35,Google,Image,55+,Female,US,34745,1056,133.8869408,0.746898834,3.039286228,1
CAMP-P0TVHH,1116,8,Google,Text,45-54,All,India,30275,4675,2712.81362,0.036862097,15.44178365,1
CAMP-PBMYOF,24353,52,Facebook,Story,55+,Male,Germany,20586,542,84.53167988,1.182988439,2.632857282,1
CAMP-QEWAOU,24376,58,Facebook,Video,45-54,Female,UK,30881,2162,126.6860847,0.789352676,7.001068618,1
CAMP-AXEQBN,23347,12,YouTube,Story,55+,All,Canada,49206,2252,210.7594123,0.474474658,4.576677641,1
CAMP-HL1N13,24400,7,Facebook,Story,35-44,Male,Germany,11723,1053,48.04508197,2.081378487,8.982342404,1
CAMP-JCAT9M,8629,25,YouTube,Text,25-34,Female,Canada,21967,4570,254.5717928,0.392816497,20.80393317,1
CAMP-X2X18H,17362,12,YouTube,Story,45-54,Male,UK,27879,2745,160.5748186,0.622762653,9.846120736,1
CAMP-AFEYUH,9368,46,Facebook,Story,18-24,Female,India,15422,3870,164.6242528,0.607443911,25.09402153,1
CAMP-Z1GV0E,21371,4,Instagram,Carousel,25-34,Female,India,25988,4482,121.6040429,0.82234108,17.24642143,1
CAMP-38DALY,12285,15,Instagram,Text,18-24,Female,UK,2713,4158,22.08384208,4.528197567,153.2620715,1
CAMP-8OZCYW,21343,42,YouTube,Image,25-34,Male,Canada,47851,4611,224.1999719,0.446030386,9.636162254,1
CAMP-D14VE9,39199,4,Facebook,Video,25-34,All,Germany,9515,4526,24.27357841,4.119705728,47.56699947,1
CAMP-2MPNSM,8671,22,Instagram,Story,55+,Male,UK,3376,4676,38.93437896,2.568424171,138.507109,1
CAMP-43D8W3,40076,3,Facebook,Video,45-54,Female,US,3709,1561,9.25491566,10.80506875,42.08681585,1
CAMP-ZP08J3,38144,39,Facebook,Image,45-54,Male,Canada,27644,3763,72.4727349,1.379829258,13.61235711,1
CAMP-TRP0J4,49316,11,Facebook,Video,25-34,All,India,4813,1165,9.759510098,10.24641596,24.20527737,1
CAMP-3D5IQV,49084,19,LinkedIn,Image,35-44,Male,UK,23171,2723,47.20682911,2.118337577,11.75175866,1
CAMP-NB4GH2,40874,11,Facebook,Carousel,35-44,All,India,10878,2359,26.61349513,3.757492186,21.68597169,1
CAMP-M5ZJA8,2668,13,LinkedIn,Story,18-24,All,Canada,47638,471,1785.532234,0.05600571,0.988706495,0
CAMP-DZR1YX,2127,17,YouTube,Image,18-24,Male,India,11271,1417,529.9012694,0.1887144,12.57208766,1
CAMP-R2DHYL,2795,26,Instagram,Video,55+,Female,UK,11261,1469,402.8980322,0.248201758,13.04502264,1
CAMP-URTP0L,48290,40,Instagram,Story,25-34,All,Canada,13619,809,28.2025264,3.545781629,5.94023056,1
CAMP-ZJJEGE,5358,57,Instagram,Carousel,18-24,Male,US,31408,172,586.1888764,0.170593479,0.547631177,0
CAMP-T1GHR0,22102,37,Instagram,Story,18-24,All,UK,37910,4127,171.5229391,0.583012398,10.88630968,1
CAMP-9SKDGI,39604,32,Instagram,Image,25-34,Female,Germany,6072,4143,15.33178467,6.522397892,68.2312253,1
CAMP-GATJ9T,33259,33,Instagram,Carousel,55+,Male,UK,45387,4226,136.4653177,0.732786921,9.3110362,1
CAMP-ZE5R5U,14086,51,Instagram,Video,18-24,Male,Canada,13565,2400,96.30129206,1.038407667,17.69259123,1
CAMP-QPGB7R,12766,7,YouTube,Carousel,55+,Male,UK,6209,1646,48.63700454,2.056047673,26.50990498,1
CAMP-3OCWBF,38760,46,Facebook,Carousel,45-54,Female,US,46041,58,118.7848297,0.841858344,0.125974675,0
CAMP-UK9E1V,3661,52,Google,Text,55+,All,US,41263,1130,1127.096422,0.088723554,2.738530887,1
CAMP-2ISQP4,26954,16,LinkedIn,Carousel,35-44,Male,Germany,21741,1354,80.65964235,1.239777379,6.227864404,1
CAMP-9KWV08,39052,55,Google,Carousel,35-44,All,India,24954,768,63.89941616,1.564959526,3.0776629,1
CAMP-HHXFGC,22762,58,Google,Story,55+,All,Canada,43840,3896,192.6017046,0.519206204,8.886861314,1
CAMP-AQVKIZ,8492,13,Facebook,Video,35-44,Female,Canada,3094,683,36.4342911,2.744667098,22.07498384,1
CAMP-ZQY72W,30635,11,Facebook,Story,45-54,Male,India,9662,3455,31.53908928,3.170668599,35.7586421,1
CAMP-X7PTX6,13167,36,Facebook,Story,25-34,All,US,5686,2009,43.18371687,2.315687654,35.33239536,1
CAMP-3CFL0U,48133,14,Instagram,Image,35-44,Male,US,11643,3143,24.18922569,4.134071975,26.9947608,1
CAMP-KEYZ7S,23699,37,YouTube,Story,35-44,Male,UK,48997,1791,206.7471201,0.483682674,3.655325836,1
CAMP-RCBPLJ,35322,37,Instagram,Text,55+,Female,Germany,2942,1478,8.329086688,12.00611829,50.23793338,1
CAMP-D84U89,11937,3,YouTube,Text,45-54,Male,Germany,21722,886,181.9720198,0.549535034,4.078814106,1
CAMP-YJB1QX,14139,42,YouTube,Image,25-34,Male,Germany,5862,3907,41.45979206,2.411975435,66.64960764,1
CAMP-6GVWRD,30918,24,Google,Video,55+,All,UK,31135,4493,100.7018565,0.993030352,14.43070499,1
CAMP-MLY4LY,19215,31,Google,Video,55+,Female,Germany,704,1539,3.66380432,27.29403409,218.6079545,0
CAMP-K83TQL,11065,10,YouTube,Story,45-54,Male,India,17193,2074,155.3818346,0.643575874,12.06304892,1
CAMP-L8OS9X,24638,13,YouTube,Story,25-34,All,UK,1848,313,7.500608816,13.33225108,16.93722944,1
CAMP-TOGN1W,42630,43,Instagram,Story,45-54,Female,India,37977,811,89.0851513,1.122521526,2.135503068,1
CAMP-1HT7PZ,5156,39,Instagram,Video,25-34,Female,UK,29137,2236,565.1086113,0.176957134,7.674091361,1
CAMP-E9VIFT,32582,16,Google,Carousel,45-54,All,Germany,11668,2858,35.81118409,2.792423723,24.4943435,1
CAMP-TD96QE,47816,32,Facebook,Text,55+,All,India,8496,2764,17.76811109,5.628060264,32.53295669,1
CAMP-3RZSJ4,8210,37,YouTube,Carousel,55+,All,India,21696,2033,264.2630938,0.378410767,9.370390855,1
CAMP-9ITN7S,13873,23,Instagram,Carousel,18-24,All,India,36641,1508,264.1173502,0.378619579,4.115608198,1
CAMP-55J2O7,27366,39,Google,Video,35-44,All,UK,48917,4546,178.7510049,0.559437414,9.29329272,1
CAMP-S3KKV9,17512,7,Instagram,Carousel,45-54,Male,Canada,27250,2571,155.6075834,0.642642202,9.434862385,1
CAMP-RFTMTT,33370,21,YouTube,Image,18-24,Male,Germany,29621,1895,88.76535811,1.126565612,6.397488268,1
CAMP-QLGZUI,7010,16,YouTube,Story,35-44,Female,India,22588,2706,322.2253923,0.310341774,11.97981229,1
CAMP-1B0Z3N,45553,28,LinkedIn,Image,45-54,Male,Canada,40605,597,89.13792725,1.121856914,1.470262283,0
CAMP-X39RBS,25546,6,Facebook,Text,25-34,Male,Germany,44014,2148,172.2931183,0.580406234,4.88026537,1
CAMP-V55PSQ,306,27,LinkedIn,Story,35-44,Male,Germany,20950,616,6846.405229,0.014606205,2.940334129,1
CAMP-0OXFQ8,21618,47,Google,Carousel,55+,All,India,22406,948,103.6451106,0.964830849,4.231009551,1
CAMP-MYX444,22461,44,Instagram,Text,18-24,Female,India,23073,4652,102.7247229,0.973475491,20.16209422,1
CAMP-NLZ15B,23519,27,Google,Story,35-44,Female,UK,39198,4374,166.6652494,0.600005102,11.15873259,1
CAMP-CW790P,48802,20,YouTube,Carousel,35-44,Female,Canada,17442,3765,35.74033851,2.79795895,21.58582731,1
CAMP-DW5PY6,41623,42,LinkedIn,Image,55+,Female,Canada,20748,2014,49.84744012,2.006121072,9.706959707,1
CAMP-B2KNFT,45251,10,LinkedIn,Story,45-54,Male,India,42520,3698,93.96477426,1.064228598,8.697083725,1
CAMP-U2GC5W,22503,41,LinkedIn,Carousel,25-34,Male,Germany,26585,491,118.1398036,0.846454768,1.84690615,0
CAMP-I6FQJJ,18241,42,Google,Image,55+,All,India,35500,4351,194.6165232,0.513830986,12.25633803,1
CAMP-A26YFP,14920,16,YouTube,Text,25-34,Female,Germany,33807,2429,226.5884718,0.441328719,7.184902535,1
CAMP-MVXPJ4,40442,34,Instagram,Text,45-54,Male,Germany,12526,4988,30.9727511,3.22864442,39.82117196,1
CAMP-HNRIUU,6474,53,Instagram,Text,35-44,Male,India,41264,542,637.3802904,0.156892206,1.313493602,0
CAMP-9K9XJU,1778,40,Google,Text,25-34,All,US,4761,1288,267.7727784,0.373450956,27.0531401,1
CAMP-Y0BVR6,33927,35,LinkedIn,Video,18-24,All,Canada,6529,1634,19.24425973,5.196354725,25.02680349,1
CAMP-K2VMWW,16298,25,Facebook,Story,18-24,All,Germany,31440,4921,192.9071052,0.518384224,15.65203562,1
CAMP-YZX4W6,10014,17,Google,Story,55+,Male,Germany,13211,2927,131.9253046,0.758004693,22.15577927,1
CAMP-XLPU0D,27990,35,Google,Video,45-54,Male,US,32202,1353,115.0482315,0.869200671,4.201602385,1
CAMP-K0GET8,22399,27,YouTube,Carousel,55+,All,UK,14685,4377,65.56096254,1.525297923,29.80592441,1
CAMP-T63J3R,43685,19,Instagram,Carousel,55+,Female,US,40893,1299,93.6087902,1.068275744,3.176582789,1
CAMP-30ME8F,43789,35,Google,Text,55+,All,US,30347,4869,69.30279294,1.442943289,16.04441955,1
CAMP-840982,42657,49,Google,Image,18-24,All,Germany,20886,3968,48.9626556,2.042372881,18.99837212,1
CAMP-N2ATQY,49180,57,LinkedIn,Carousel,18-24,All,Canada,24881,4424,50.59170394,1.976608657,17.78063583,1
CAMP-YV37DI,44120,4,LinkedIn,Image,55+,All,US,1057,2259,2.395738894,41.74077578,213.71807,0
CAMP-A5U6HC,2793,16,Facebook,Story,18-24,Male,UK,26381,4648,944.5399212,0.10587165,17.61874076,1
CAMP-36KOF8,29567,55,YouTube,Image,45-54,Female,India,40506,2074,136.9973281,0.729941243,5.120229102,1
CAMP-KRD5EQ,29823,42,Facebook,Story,55+,All,US,10813,702,36.25725111,2.758068991,6.492185332,1
CAMP-Y08P0F,46799,42,LinkedIn,Video,18-24,Female,US,3958,1920,8.457445672,11.82390096,48.50934816,1
CAMP-ODRO8B,3727,53,Instagram,Video,25-34,Female,UK,27623,2461,741.1591092,0.134923795,8.909242298,1
CAMP-NP84DY,26039,41,LinkedIn,Text,55+,Female,Canada,19237,4263,73.87764507,1.353589437,22.16042002,1
CAMP-T9MOGE,49025,53,YouTube,Carousel,55+,All,US,12007,4265,24.49158593,4.083034896,35.52094611,1
CAMP-4QXXVA,43041,8,LinkedIn,Text,45-54,Male,US,4429,4325,10.29018842,9.717995033,97.65184014,1
CAMP-2IEUC1,21934,8,YouTube,Story,35-44,All,Canada,28009,367,127.6967265,0.78310543,1.31029312,0
CAMP-HH5LF6,18147,5,YouTube,Text,35-44,Female,UK,16532,528,91.10045738,1.09768933,3.193805952,1
CAMP-A4FEJG,26205,9,YouTube,Image,45-54,Female,US,27155,4887,103.6252624,0.965015651,17.99668569,1
CAMP-XAA2IL,10330,53,YouTube,Story,45-54,Male,Canada,927,3719,8.973862536,11.14347357,401.1866235,1
CAMP-GB0S0R,15807,10,YouTube,Video,45-54,All,US,48403,3610,306.2124375,0.326570667,7.4582154,1
CAMP-2SDS8B,22076,44,Instagram,Carousel,35-44,Female,India,18302,3936,82.90451169,1.206206972,21.50584636,1
CAMP-25SQ8C,44362,54,Facebook,Story,45-54,Male,Germany,31384,4620,70.74523241,1.413522814,14.72087688,1
CAMP-ROYR6C,23876,17,Google,Story,18-24,Female,India,19099,2154,79.99246105,1.250117807,11.27807739,1
CAMP-CVCJWT,30180,49,Facebook,Image,55+,Male,US,17822,1909,59.05235255,1.693412636,10.71148019,1
CAMP-L9TQVD,1406,31,YouTube,Carousel,55+,Male,UK,2687,3013,191.1095306,0.523260141,112.1324898,1
CAMP-Z4X1ZH,6876,35,Instagram,Video,25-34,All,Germany,7292,4229,106.0500291,0.942951179,57.99506308,1
CAMP-QIMQOD,27351,54,LinkedIn,Story,25-34,Female,India,42075,3023,153.8334979,0.650053476,7.184789067,1
CAMP-PXNF7C,9574,32,Instagram,Story,55+,All,Canada,41431,3484,432.7449342,0.231083005,8.409162222,1
CAMP-3DD03U,40394,41,YouTube,Image,18-24,Female,UK,35701,2721,88.38193791,1.1314529,7.621635248,1
CAMP-VULEMX,22059,29,Instagram,Text,35-44,All,India,34022,1771,154.2318328,0.648374581,5.205455294,1
CAMP-15Z8VM,5630,38,Instagram,Video,35-44,Female,Canada,16978,4114,301.5630551,0.331605607,24.23135823,1
CAMP-UHXID4,29420,31,YouTube,Carousel,18-24,All,US,28792,1778,97.86539769,1.021811614,6.17532648,1
CAMP-N1U349,3848,40,Instagram,Story,35-44,Male,Canada,11881,4213,308.7577963,0.323878461,35.45997812,1
CAMP-3WXA73,32068,59,Google,Story,45-54,Female,India,48282,798,150.5613072,0.664181268,1.65278986,0
CAMP-JGZLMA,32662,35,Google,Video,55+,Female,India,19606,3216,60.02694262,1.665918596,16.4031419,1
CAMP-5UOFWB,13645,39,Instagram,Text,55+,Male,US,25393,3789,186.0974716,0.537352814,14.92143504,1
CAMP-0HPMNZ,763,29,LinkedIn,Story,18-24,All,Canada,22884,2977,2999.21363,0.033342073,13.00908932,1
CAMP-1UDBFW,34866,57,YouTube,Video,35-44,Female,Canada,46812,3738,134.2626054,0.744809023,7.985132017,1
CAMP-YJXRPJ,8094,35,Google,Image,25-34,Female,US,39338,1712,486.0143316,0.205755249,4.352026031,1
CAMP-1EPKYR,28121,6,LinkedIn,Text,25-34,All,Canada,33472,753,119.0284841,0.840135038,2.249641491,1
CAMP-YBOVAK,30403,24,Instagram,Carousel,35-44,Male,US,23255,2470,76.48916225,1.307374758,10.62137175,1
CAMP-HEJLA0,3404,4,LinkedIn,Story,25-34,All,UK,18880,3970,554.6415981,0.18029661,21.02754237,1
CAMP-GNZS43,46676,12,Facebook,Video,18-24,All,India,8462,1393,18.1292313,5.515953675,16.46182935,1
CAMP-C5BA75,39453,7,Google,Image,18-24,All,UK,3716,2606,9.418802119,10.61706136,70.12917115,1
CAMP-UUZPEA,17775,12,Instagram,Carousel,35-44,Female,Germany,37095,678,208.6919831,0.479175091,1.827739588,0
CAMP-L2W37D,44517,35,YouTube,Video,25-34,Male,Germany,20836,106,46.8045915,2.136542523,0.508734882,0
CAMP-4IVSOL,24038,56,Instagram,Video,18-24,Male,Germany,5565,3288,23.1508445,4.319496855,59.08355795,1
CAMP-MLGSES,23764,40,YouTube,Carousel,18-24,All,US,42023,4754,176.834708,0.565499845,11.31285249,1
CAMP-6M033I,1736,15,Instagram,Image,45-54,Female,Canada,26677,1947,1536.693548,0.065074784,7.298421862,1
CAMP-FHV1XG,20180,33,LinkedIn,Image,45-54,All,UK,15248,1096,75.55996036,1.323452256,7.187827912,1
CAMP-1R11Q7,27828,49,LinkedIn,Text,18-24,Female,UK,4035,1783,14.49978439,6.896654275,44.18835192,1
CAMP-UWW5WF,49950,38,LinkedIn,Story,35-44,Female,UK,45953,4542,91.997998,1.086980175,9.884011925,1
CAMP-CPKJCS,26836,47,Facebook,Carousel,55+,Female,UK,40985,3258,152.7239529,0.654776138,7.949249726,1
CAMP-LQC3C5,28773,26,YouTube,Carousel,55+,Female,Germany,29525,1998,102.6135613,0.974530059,6.767146486,1
CAMP-4WSQT2,37605,54,LinkedIn,Carousel,18-24,Male,UK,40266,4870,107.0761867,0.933914469,12.0945711,1
CAMP-6Q3XLR,47423,58,Facebook,Image,18-24,Female,Canada,19453,1562,41.02018008,2.4378245,8.029609829,1
CAMP-FCD6MZ,46745,17,YouTube,Story,18-24,Female,Germany,3731,4007,7.98160231,12.52881265,107.3974806,1
CAMP-SGIPPS,954,31,Instagram,Text,35-44,All,UK,26069,1676,2732.599581,0.03659519,6.429092025,1
CAMP-FNKOMV,24648,10,Facebook,Video,45-54,All,US,27636,1123,112.1226874,0.891880156,4.06354031,1
CAMP-2XCDYK,38723,7,Google,Video,18-24,Male,India,49774,3982,128.5385946,0.777976454,8.000160726,1
CAMP-0X65MU,7492,31,Facebook,Carousel,18-24,All,India,42342,1302,565.1628404,0.176940154,3.074961032,1
CAMP-FM8ZOV,46817,49,Facebook,Story,25-34,Female,India,37571,944,80.25076361,1.246094062,2.512576189,1
CAMP-7LN23Y,21656,6,YouTube,Image,35-44,All,Germany,39900,4551,184.2445512,0.542756892,11.40601504,1
CAMP-30YSXP,38659,14,Instagram,Story,18-24,Male,UK,36820,946,95.24302232,1.049945682,2.569255839,1
CAMP-NNGH8R,26409,47,Google,Story,25-34,All,Germany,5679,601,21.50403272,4.650290544,10.58284909,1
CAMP-IEC4D1,22019,4,LinkedIn,Image,55+,All,Canada,27760,2701,126.072937,0.793191643,9.729827089,1
CAMP-45BM1E,5031,29,LinkedIn,Carousel,18-24,Male,US,30378,4821,603.8163387,0.165613273,15.87003753,1
CAMP-NF313F,33070,33,Facebook,Story,18-24,Male,US,12328,1418,37.27850015,2.682511356,11.50227125,1
CAMP-POYIPK,44315,53,YouTube,Video,25-34,Female,India,8467,1525,19.10639738,5.233849061,18.01110193,1
CAMP-0QTL3Q,12788,53,YouTube,Image,35-44,All,India,34815,3767,272.2474195,0.36731294,10.82004883,1
CAMP-4N89QK,25442,38,LinkedIn,Text,18-24,Female,India,9013,251,35.42567408,2.822811495,2.784866304,1
CAMP-NS832E,37257,38,Google,Carousel,55+,All,UK,48602,1545,130.4506536,0.766573392,3.178881528,1
CAMP-JX5TD4,2427,28,Instagram,Image,18-24,All,Canada,37342,79,1538.607334,0.064993841,0.211558031,0
CAMP-4K1J6F,40872,45,Google,Text,55+,Female,Canada,25059,3124,61.3109219,1.631030767,12.46657887,1
CAMP-P8HQMA,40645,29,Instagram,Text,45-54,All,Canada,27725,898,68.21257227,1.46600541,3.238954013,1
